epoch,accuracy,loss,val_accuracy,val_loss
0,0.4580680727958679,1.2270801067352295,0.5504322648048401,1.1287195682525635
1,0.6529200077056885,0.8496266603469849,0.559077799320221,1.1026079654693604
2,0.7212842702865601,0.6909898519515991,0.5677233338356018,1.1468720436096191
3,0.7832825779914856,0.5641567707061768,0.5533141493797302,1.224920392036438
4,0.8272903561592102,0.45590901374816895,0.5561959743499756,1.302783489227295
5,0.8641018271446228,0.38432982563972473,0.590778112411499,1.350853443145752
6,0.8895654678344727,0.3153006136417389,0.5475504398345947,1.5879586935043335
7,0.9050650596618652,0.2667606770992279,0.559077799320221,1.5080256462097168
8,0.9194574952125549,0.232451394200325,0.5619596838951111,1.8114084005355835
9,0.9321893453598022,0.20073245465755463,0.5561959743499756,1.740439772605896
10,0.9321893453598022,0.19462400674819946,0.5706051588058472,1.9074981212615967
11,0.949349582195282,0.15441884100437164,0.5734870433807373,1.8196555376052856
12,0.9435372352600098,0.16878850758075714,0.5734870433807373,1.8150471448898315
13,0.9606974720954895,0.1207176148891449,0.5389049053192139,2.29465389251709
14,0.9631884694099426,0.11643070727586746,0.5504322648048401,2.1597418785095215
15,0.9665098190307617,0.10748511552810669,0.5763688683509827,2.009505033493042
16,0.9690008163452148,0.10301858186721802,0.5360230803489685,2.146306276321411
17,0.9709382653236389,0.09081180393695831,0.5533141493797302,2.179705858230591
18,0.9717686176300049,0.08820228278636932,0.5417867302894592,2.4824540615081787
19,0.9717686176300049,0.09011393785476685,0.5619596838951111,2.3167405128479004
20,0.9424301385879517,0.16917799413204193,0.5475504398345947,2.2529964447021484
21,0.9626349210739136,0.11355558782815933,0.5417867302894592,2.338608980178833
22,0.9717686176300049,0.08676250278949738,0.5389049053192139,2.3823435306549072
23,0.9681705236434937,0.09236375242471695,0.5734870433807373,2.4396209716796875
24,0.9773041605949402,0.06698013842105865,0.5763688683509827,2.3782851696014404
