epoch,accuracy,loss,val_accuracy,val_loss
0,0.3780791461467743,1.3248392343521118,0.44092220067977905,1.262692928314209
1,0.6565181016921997,0.9713913798332214,0.6541786789894104,0.9117043614387512
2,0.8004428744316101,0.5668210983276367,0.7204610705375671,0.7894370555877686
3,0.8524771928787231,0.40176481008529663,0.7089337110519409,0.7948299646377563
4,0.8834763169288635,0.3230507969856262,0.6916426420211792,0.8215438723564148
5,0.9111541509628296,0.26362186670303345,0.7002881765365601,0.878264844417572
6,0.9296982884407043,0.21662098169326782,0.7002881765365601,0.9318812489509583
7,0.9460282325744629,0.178139790892601,0.6945244669914246,0.9782502055168152
8,0.9548851251602173,0.15307654440402985,0.6974063515663147,1.0197227001190186
9,0.9576529264450073,0.1425003856420517,0.7002881765365601,1.063408613204956
10,0.9631884694099426,0.12209034711122513,0.6974063515663147,1.1690665483474731
11,0.9665098190307617,0.11349602043628693,0.6858789920806885,1.1635969877243042
12,0.9692776203155518,0.10289929062128067,0.6887608170509338,1.2377368211746216
13,0.9712150692939758,0.09367194771766663,0.680115282535553,1.2486051321029663
14,0.9709382653236389,0.09386937320232391,0.6772334575653076,1.2737280130386353
15,0.9725989699363708,0.0825619325041771,0.6916426420211792,1.3078383207321167
16,0.9731525182723999,0.08236191421747208,0.6743515729904175,1.371227741241455
17,0.977027416229248,0.0752268135547638,0.6599423885345459,1.40369713306427
18,0.975643515586853,0.07711394876241684,0.6858789920806885,1.4018170833587646
19,0.975089967250824,0.07308930903673172,0.6887608170509338,1.4463337659835815
20,0.976473867893219,0.06682898849248886,0.6772334575653076,1.4521613121032715
21,0.9767506122589111,0.06964053213596344,0.6945244669914246,1.4276782274246216
22,0.977027416229248,0.06724850088357925,0.6945244669914246,1.466478705406189
23,0.977027416229248,0.06823989748954773,0.6829971075057983,1.4799689054489136
24,0.9792416095733643,0.06301815062761307,0.6743515729904175,1.5414921045303345
